>>时间				>>程序版本			>>变更说明
20200721			V1.0				初始版本
20200817			V1.1				增加readMW_uint32
20200817			V1.3				增加伺服移动精度0.001mm
20200905			V2.1				增加mapping
20200905			V2.2				修改mapping算法
20201020			V2.3				增加保存基准点坐标
20201020			V2.4				增加坐标转换方法
20201020			V2.5				修改程序适应新软件
20201202			V3.0				新软件编程方式
20220105			V3.1				新软件编程方式第一次修改


